"","x"
"1",92.9817415259357
"2",80.8412695690327
"3",97.9217664553664
"4",56.0872071588696
"5",79.9905403195316
"6",78.2617806182841
"7",95.9618032391558
"8",86.6847358691551
"9",62.8122839099596
"10",52.2485441314736
"11",64.960863891567
"12",64.8249902127284
"13",70.5921767616103
"14",50.043172899781
"15",51.7095436619798
"16",91.9365175446759
"17",59.9851466602685
"18",75.4537841126512
"19",58.6682174623392
"20",99.3055404399675
"21",93.8194800158798
"22",54.4944506802512
"23",63.3676393190635
"24",58.0696281615632
"25",61.7034765368633
"26",92.2575902388696
"27",89.4219950446685
"28",68.4937749930484
"29",61.5790552501208
"30",76.0272189925681
"31",94.2994204153172
"32",58.8056734651286
"33",74.442088411204
"34",69.3460548042362
"35",52.7842298661028
"36",99.0641923308575
"37",64.0095227645972
"38",83.5356051768553
"39",72.4222228470742
"40",74.0358207929117
"41",73.8446722625952
"42",94.7810921837573
"43",88.3509242219031
"44",91.694649929316
"45",60.736539395939
"46",54.1621006798824
"47",95.2778277794643
"48",60.1948546785732
"49",73.1739242916343
"50",83.3297868143895
"51",90.1156758452918
"52",53.4050122906195
"53",85.2260536564836
"54",91.0965872845271
"55",80.2891620794756
"56",66.9194463965836
"57",51.305303552102
"58",71.4012859705276
"59",71.4257649531464
"60",64.1776076424164
"61",50.8225687056652
"62",98.0023343827919
"63",98.4564209077718
"64",65.1293159778687
"65",62.7317840983513
"66",85.4138137271457
"67",72.8134383362255
"68",92.020376426253
"69",68.8974762627425
"70",82.3909455362825
"71",84.6110517828079
"72",63.6644328127221
"73",90.3745705303228
"74",68.6756445607599
"75",59.0787388323218
"76",58.1717952853308
"77",66.2782322836898
"78",63.7622416277329
"79",98.3698629681533
"80",91.8928271518893
"81",88.7863965383742
"82",92.2774689999202
"83",80.1463830968386
"84",64.7096692070384
"85",66.5681490491559
"86",83.5210073127468
"87",65.1397734857756
"88",91.3174407596825
"89",99.4622674399523
"90",72.2933253540602
"91",95.7647313964344
"92",51.0844125848271
"93",82.1499993105551
"94",56.21674434848
"95",97.9043033587759
"96",85.8533992826561
"97",80.3292074376715
"98",59.9165627157324
"99",80.8279583176971
"100",66.3755710452432
"101",64.3112994679635
"102",62.5502980961826
"103",69.0996769201585
"104",89.5657911601009
"105",99.2790819657837
"106",63.6308914787378
"107",80.7156446413171
"108",80.2819433334812
"109",50.9795203631145
"110",69.3259982972593
"111",77.2816659267004
"112",71.8008344986971
"113",54.3835688723605
"114",63.9716048201599
"115",60.9327534437124
"116",99.7475918331904
"117",89.1885951047065
"118",81.5998920268164
"119",73.4682127342129
"120",90.9519492883968
"121",63.2628752718534
"122",70.2128488354224
"123",78.2941961147948
"124",82.2011372388398
"125",78.3268619535194
"126",85.7535151307389
"127",69.261337716632
"128",66.2511435211683
"129",72.0340570542872
"130",68.1265491953576
"131",61.740332465789
"132",66.7343496954301
"133",94.2537372884846
"134",81.2503367181926
"135",65.2363898462601
"136",73.1414253024504
"137",54.5855005800579
"138",69.4263095102079
"139",89.0256027084481
"140",90.5026088360362
"141",88.9969216712664
"142",79.4282579001763
"143",90.6213840896915
"144",83.2652041368615
"145",54.5055347725738
"146",53.3760375172468
"147",55.1930190392308
"148",82.4087352726377
"149",78.0958084140436
"150",97.039993690096
"151",75.6613971903248
"152",73.9380686748992
"153",99.6285520008882
"154",90.9142450611502
"155",94.7031377439937
"156",54.5089007139944
"157",95.6320291842307
"158",89.4352064920811
"159",50.3719857622336
"160",92.5371724128012
"161",59.4947334783757
"162",93.733457632514
"163",92.3081954524163
"164",99.031083799676
"165",52.7237211926532
"166",66.8349156981183
"167",91.0181386189781
"168",95.2545284865602
"169",87.4341039523892
"170",53.7568782248069
"171",77.7303283477686
"172",57.1417980057289
"173",66.2193863664585
"174",54.3909399815485
"175",97.4331501425289
"176",76.5190964283541
"177",63.2845995867747
"178",75.6989132380885
"179",59.990238922452
"180",56.5644002161393
"181",90.808493303793
"182",87.8752059626531
"183",51.2629316467997
"184",65.2091199300433
"185",63.4288651051173
"186",79.8811251083724
"187",54.0784049250289
"188",73.3222682937263
"189",92.3114641633847
"190",74.4287520977565
"191",51.882810128442
"192",96.8549329407143
"193",87.5297967725625
"194",85.202420924575
"195",97.5880118617071
"196",50.1945236564033
"197",88.3303556115794
"198",85.8622761989934
"199",64.2297434932823
"200",92.2461620098241
"201",56.4058671553814
"202",56.7314485074614
"203",87.9875944684622
"204",57.2278416035818
"205",59.96857407613
"206",62.7425132658937
"207",63.8099103392004
"208",64.9781232419959
"209",98.3562941833284
"210",60.326754678897
"211",73.1983021732113
"212",79.5710178924445
"213",96.3553452142667
"214",62.6681338158624
"215",72.0959074426954
"216",74.6221971414003
"217",90.9418341551111
"218",56.6410532596014
"219",55.431640301352
"220",90.4779894916
"221",92.0212633537078
"222",68.3215770065287
"223",54.3504741079563
"224",54.6943260484501
"225",83.6109370601925
"226",81.6397638933993
"227",85.5426938798541
"228",94.2228725083132
"229",60.5861259743777
"230",90.4254711673027
"231",62.1127434724618
"232",78.3806025042714
"233",95.1114349764825
